[19:01:18] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:01:19] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:01:19] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:01:19] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:01:19] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:01:19] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:01:19] [ServerMain/INFO]: Reloading ResourceManager: Default
[19:01:21] [Worker-Main-2/INFO]: Loaded 7 recipes
[19:01:22] [Worker-Main-2/INFO]: Loaded 1141 advancements
[19:01:25] [Server thread/INFO]: Starting minecraft server version 1.18
[19:01:25] [Server thread/INFO]: Loading properties
[19:01:25] [Server thread/INFO]: Default game type: SURVIVAL
[19:01:25] [Server thread/INFO]: Generating keypair
[19:01:25] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:01:25] [Server thread/INFO]: Using epoll channel type
[19:01:26] [Server thread/INFO]: Preparing level "world"
[19:01:42] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:01:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:01:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
