[15:14:33] [ServerMain/ERROR]: Failed to load properties from file: server.properties
[15:14:33] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:14:34] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:14:34] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:14:34] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[15:14:34] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[15:14:34] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:14:34] [ServerMain/INFO]: Reloading ResourceManager: Default
[15:14:36] [Worker-Main-2/INFO]: Loaded 7 recipes
[15:14:37] [Worker-Main-2/INFO]: Loaded 1141 advancements
[15:14:43] [Server thread/INFO]: Starting minecraft server version 1.18
[15:14:43] [Server thread/INFO]: Loading properties
[15:14:43] [Server thread/INFO]: Default game type: SURVIVAL
[15:14:43] [Server thread/INFO]: Generating keypair
[15:14:44] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:14:44] [Server thread/INFO]: Using epoll channel type
[15:14:44] [Server thread/INFO]: Preparing level "world"
[15:15:00] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:15:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
